doi	returned_doi	title	type	publisher	issued_year	status	source_file_count	source_files	error
10.1007/s10439-014-1085-6	10.1007/s10439-014-1085-6	A Low Computational Cost Algorithm for REM Sleep Detection Using Single Channel EEG	journal-article	Springer Science and Business Media LLC	2014	pass	2	docs/preliminary/2026-06-01_to_2026-06-21/01_literature_review.md;docs/preliminary/2026-06-01_to_2026-06-21/03_technological_knowledge_assessment.md	none
10.1016/j.cmpb.2015.10.013	10.1016/j.cmpb.2015.10.013	ISRUC-Sleep: A comprehensive public dataset for sleep researchers	journal-article	Elsevier BV	2016	pass	1	docs/preliminary/2026-06-01_to_2026-06-21/02_dataset_search.md	none
10.1016/j.compbiomed.2026.111560	10.1016/j.compbiomed.2026.111560	Automatic sleep scoring for real-time monitoring and stimulation in individuals with and without sleep apnea	journal-article	Elsevier BV	2026	pass	3	docs/preliminary/2026-06-01_to_2026-06-21/01_literature_review.md;docs/preliminary/2026-06-01_to_2026-06-21/03_technological_knowledge_assessment.md;Proposal.md	none
10.1016/j.jneumeth.2014.08.002	10.1016/j.jneumeth.2014.08.002	Digital filter design for electrophysiological data – a practical approach	journal-article	Elsevier BV	2015	pass	1	docs/preprocessing/minimal_wearable_eeg_preprocessing_spec_v0.1.md	none
10.1016/j.smrv.2024.101951	10.1016/j.smrv.2024.101951	Sleep assessment using EEG-based wearables – A systematic review	journal-article	Elsevier BV	2024	pass	2	docs/preliminary/2026-06-01_to_2026-06-21/01_literature_review.md;docs/preliminary/2026-06-01_to_2026-06-21/03_technological_knowledge_assessment.md	none
10.1016/s1389-9457(01)00149-6	10.1016/s1389-9457(01)00149-6	Atlas, rules, and recording techniques for the scoring of cyclic alternating pattern (CAP) in human sleep	journal-article	Elsevier BV	2001	pass	1	docs/preliminary/2026-06-01_to_2026-06-21/02_dataset_search.md	none
10.1038/s41467-018-07229-3	10.1038/s41467-018-07229-3	Neural network analysis of sleep stages enables efficient diagnosis of narcolepsy	journal-article	Springer Science and Business Media LLC	2018	pass	2	docs/preliminary/2026-06-01_to_2026-06-21/01_literature_review.md;docs/preliminary/2026-06-01_to_2026-06-21/03_technological_knowledge_assessment.md	none
10.1038/s41598-019-53115-3	10.1038/s41598-019-53115-3	Accurate whole-night sleep monitoring with dry-contact ear-EEG	journal-article	Springer Science and Business Media LLC	2019	pass	2	docs/preliminary/2026-06-01_to_2026-06-21/01_literature_review.md;docs/preliminary/2026-06-01_to_2026-06-21/03_technological_knowledge_assessment.md	none
10.1038/s41746-021-00440-5	10.1038/s41746-021-00440-5	U-Sleep: resilient high-frequency sleep staging	journal-article	Springer Science and Business Media LLC	2021	pass	2	docs/preliminary/2026-06-01_to_2026-06-21/01_literature_review.md;docs/preliminary/2026-06-01_to_2026-06-21/03_technological_knowledge_assessment.md	none
10.1038/s44385-025-00034-w	10.1038/s44385-025-00034-w	Evaluating the performance of wearable EEG sleep monitoring devices: a meta-analysis approach	journal-article	Springer Science and Business Media LLC	2025	pass	2	docs/preliminary/2026-06-01_to_2026-06-21/01_literature_review.md;docs/preliminary/2026-06-01_to_2026-06-21/03_technological_knowledge_assessment.md	none
10.1088/1361-6579/ac6049	10.1088/1361-6579/ac6049	Automatic sleep staging of EEG signals: recent development, challenges, and future directions	journal-article	IOP Publishing	2022	pass	1	docs/preliminary/2026-06-01_to_2026-06-21/01_literature_review.md	none
10.1088/1361-6579/acdb46	10.1088/1361-6579/acdb46	BTCRSleep: a boundary temporal context refinement-based fully convolutional network for sleep staging with single-channel EEG	journal-article	IOP Publishing	2023	pass	2	docs/preliminary/2026-06-01_to_2026-06-21/01_literature_review.md;docs/preliminary/2026-06-01_to_2026-06-21/03_technological_knowledge_assessment.md	none
10.1088/1741-2552/ac6ca8	10.1088/1741-2552/ac6ca8	From unsupervised to semi-supervised adversarial domain adaptation in electroencephalography-based sleep staging	journal-article	IOP Publishing	2022	pass	2	docs/preliminary/2026-06-01_to_2026-06-21/01_literature_review.md;docs/preliminary/2026-06-01_to_2026-06-21/03_technological_knowledge_assessment.md	none
10.1093/sleep/zsaa097	10.1093/sleep/zsaa097	The Dreem Headband compared to polysomnography for electroencephalographic signal acquisition and sleep staging	journal-article	Oxford University Press (OUP)	2020	pass	4	docs/evaluation/direct_event_baseline_protocol_v0.1.md;docs/evaluation/stage_first_baseline_protocol_v0.1.md;docs/preliminary/2026-06-01_to_2026-06-21/01_literature_review.md;docs/preliminary/2026-06-01_to_2026-06-21/03_technological_knowledge_assessment.md	none
10.1109/10.867928	10.1109/10.867928	Analysis of a sleep-dependent neuronal feedback loop: the slow-wave microcontinuity of the EEG	journal-article	Institute of Electrical and Electronics Engineers (IEEE)	2000	pass	1	docs/preliminary/2026-06-01_to_2026-06-21/02_dataset_search.md	none
